,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
228,0.9778,0.6799999999999999,8.146204,BH,K-Means,"[37, 11, 10, 4, 12]",0.5519657,0.53915715
229,0.9638,2.08,11.777808,BH,K-Means,"[42, 8, 4, 3, 4]",0.35008955,0.5365679
230,0.974,1.06,10.69987,BH,K-Means,"[47, 6, 4, 8, 4]",0.39366317,0.53510857
231,0.9772,0.74,9.136919,BH,K-Means,"[44, 7, 4, 8, 14]",0.39477706,0.53509235
232,0.9714,1.32,10.177186,BH,K-Means,"[47, 9, 4, 7, 4]",0.3839326,0.53591967
233,0.9642,2.04,11.766443,BH,K-Means,"[44, 8, 4, 3, 4]",0.34845376,0.53905916
234,0.976,0.86,10.726086,BH,K-Means,"[39, 8, 4, 8, 4]",0.37024522,0.5380554
235,0.9648,1.9800000000000002,11.2497015,BH,K-Means,"[45, 10, 4, 3, 4]",0.35783458,0.5432923
236,0.973,1.16,10.718862,BH,K-Means,"[43, 7, 4, 5, 4]",0.38059354,0.5426433
237,0.9736,1.0999999999999999,10.750343,BH,K-Means,"[39, 6, 4, 6, 4]",0.37466502,0.5428369
238,0.9716,1.3,9.177023,BH,K-Means,"[41, 13, 4, 5, 7]",0.39656448,0.5378065
239,0.9752,0.9400000000000001,10.195462,BH,K-Means,"[43, 10, 4, 6, 4]",0.37481475,0.53909993
240,0.9594,2.52,11.797207,BH,K-Means,"[42, 6, 4, 3, 4]",0.36352468,0.53591347
241,0.982,0.26,5.9826484,BH,K-Means,"[32, 23, 24, 11, 11]",1.0136614,0.5362022
242,0.9684,1.6199999999999999,10.228806,BH,K-Means,"[39, 5, 4, 9, 4]",0.37939763,0.53940153
243,0.9726,1.2,10.754445,BH,K-Means,"[38, 6, 4, 7, 4]",0.37899613,0.5412736
244,0.975,0.96,10.202894,BH,K-Means,"[40, 7, 4, 9, 4]",0.37974262,0.5359192
245,0.975,0.96,9.231954,BH,K-Means,"[41, 6, 4, 8, 9]",0.39588094,0.5359144
246,0.9758,0.88,6.3117657,BH,K-Means,"[18, 5, 32, 24, 29]",1.1744838,0.53571415
247,0.9696,1.5,11.256044,BH,K-Means,"[41, 12, 4, 4, 4]",0.3534603,0.53784704
248,0.98,0.45999999999999996,8.619073,BH,K-Means,"[41, 7, 8, 7, 8]",0.51602674,0.5373175
249,0.9734,1.1199999999999999,10.21267,BH,K-Means,"[38, 12, 4, 7, 4]",0.3740375,0.53946376
250,0.973,1.16,10.692437,BH,K-Means,"[48, 7, 4, 5, 4]",0.3731284,0.53888273
251,0.9694,1.52,10.272882,BH,K-Means,"[41, 7, 4, 4, 10]",0.36132002,0.5394466
252,0.9684,1.6199999999999999,10.183191,BH,K-Means,"[47, 5, 4, 9, 4]",0.39254284,0.5388205
253,0.9714,1.32,11.273246,BH,K-Means,"[40, 10, 4, 4, 4]",0.35401773,0.53861594
